Date,Scheme Name,ISIN,NAV
2015-09-18,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,24.89
2015-09-18,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,326.326
2015-09-18,HSBC Large Cap Fund - Regular Growth,INF336L01016,145.0569
2015-09-18,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,52.9849
2015-09-18,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.317
2015-09-18,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.1682
2015-09-18,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,27.801
2015-09-18,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,160.9056
2015-09-18,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,60.65
2015-09-18,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,88.4732
2015-09-21,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.82
2015-09-21,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,23.0197
2015-09-21,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,17.19
2015-09-21,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,153.273
2015-09-21,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,24.93
2015-09-21,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,327.569
2015-09-21,HSBC Large Cap Fund - Regular Growth,INF336L01016,145.0517
2015-09-21,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,52.9383
2015-09-21,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.322
2015-09-21,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.1948
2015-09-21,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,27.8104
2015-09-21,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,161.0849
2015-09-21,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,60.92
2015-09-21,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,88.4663
2015-09-22,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.49
2015-09-22,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,22.5418
2015-09-22,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,16.85
2015-09-22,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,150.274
2015-09-22,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,24.5
2015-09-22,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,320.34
2015-09-22,HSBC Large Cap Fund - Regular Growth,INF336L01016,141.8623
2015-09-22,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,51.8501
2015-09-22,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,19.994
2015-09-22,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,19.8434
2015-09-22,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,27.3341
2015-09-22,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,158.2367
2015-09-22,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,59.93
2015-09-22,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,87.1225
2015-09-23,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.56
2015-09-23,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,22.6658
2015-09-23,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,16.96
2015-09-23,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,150.895
2015-09-23,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,24.64
2015-09-23,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,322.009
2015-09-23,HSBC Large Cap Fund - Regular Growth,INF336L01016,142.4604
2015-09-23,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,52.0882
2015-09-23,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.052
2015-09-23,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,19.8737
2015-09-23,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,27.504
2015-09-23,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,158.9242
2015-09-23,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,60.16
2015-09-23,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,87.4252
2015-09-24,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.64
2015-09-24,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,22.6799
2015-09-24,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,16.98
2015-09-24,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,151.056
2015-09-24,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,24.72
2015-09-24,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,322.306
2015-09-24,HSBC Large Cap Fund - Regular Growth,INF336L01016,142.9267
2015-09-24,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,52.2334
2015-09-24,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.098
2015-09-24,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,19.9402
2015-09-24,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,27.5537
2015-09-24,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,159.4517
2015-09-24,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,60.4
2015-09-24,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,87.7533
2015-09-28,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.41
2015-09-28,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,22.4453
2015-09-28,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,16.81
2015-09-28,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,149.246
2015-09-28,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,24.63
2015-09-28,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,318.367
2015-09-28,HSBC Large Cap Fund - Regular Growth,INF336L01016,141.5191
2015-09-28,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,51.7279
2015-09-28,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,19.905
2015-09-28,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,19.8004
2015-09-28,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,27.2948
2015-09-28,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,157.7452
2015-09-28,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,59.89
2015-09-28,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,87.0654
2015-09-29,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.54
2015-09-29,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,22.5196
2015-09-29,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,16.91
2015-09-29,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,150.426
2015-09-29,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,24.78
2015-09-29,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,320.333
2015-09-29,HSBC Large Cap Fund - Regular Growth,INF336L01016,142.4164
2015-09-29,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,52.1138
2015-09-29,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.003
2015-09-29,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,19.8304
2015-09-29,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,27.4395
2015-09-29,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,158.7975
2015-09-29,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,60.22
2015-09-29,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,87.1869
2015-09-30,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.77
2015-09-30,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,22.7781
2015-09-30,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,17.07
2015-09-30,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,151.623
2015-09-30,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,25.16
2015-09-30,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,323.303
2015-09-30,HSBC Large Cap Fund - Regular Growth,INF336L01016,144.2977
2015-09-30,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,52.8
2015-09-30,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.24
2015-09-30,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.0154
2015-09-30,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,27.7608
2015-09-30,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,160.8483
2015-09-30,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,60.91
2015-09-30,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,88.0062
2015-10-01,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,18.81
2015-10-01,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,22.8323
2015-10-01,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,17.13
2015-10-01,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,152.309
2015-10-01,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,25.15
2015-10-01,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,322.533
2015-10-01,HSBC Large Cap Fund - Regular Growth,INF336L01016,143.838
2015-10-01,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,52.7769
2015-10-01,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.267
2015-10-01,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.0029
2015-10-01,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,27.8575
2015-10-01,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,160.347
2015-10-01,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,60.87
2015-10-01,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,88.3636
2015-10-05,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,19.17
2015-10-05,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,23.2178
2015-10-05,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,17.44
2015-10-05,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,155.032
2015-10-05,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,25.54
2015-10-05,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,329.884
2015-10-05,HSBC Large Cap Fund - Regular Growth,INF336L01016,146.8329
2015-10-05,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,53.8582
2015-10-05,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.622
2015-10-05,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.3315
2015-10-05,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,28.3256
2015-10-05,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,163.1147
2015-10-05,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,62.16
2015-10-05,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,90.0178
2015-10-06,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,19.19
2015-10-06,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,23.2327
2015-10-06,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,17.44
2015-10-06,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,154.796
2015-10-06,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,25.62
2015-10-06,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,330.615
2015-10-06,HSBC Large Cap Fund - Regular Growth,INF336L01016,147.2538
2015-10-06,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,54.0849
2015-10-06,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.63
2015-10-06,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.2882
2015-10-06,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,28.3936
2015-10-06,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,163.1134
2015-10-06,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,62.25
2015-10-06,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,89.8962
2015-10-07,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,19.19
2015-10-07,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,23.2094
2015-10-07,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,17.43
2015-10-07,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,154.347
2015-10-07,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,25.55
2015-10-07,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,331.387
2015-10-07,HSBC Large Cap Fund - Regular Growth,INF336L01016,146.3063
2015-10-07,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,54.1878
2015-10-07,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.585
2015-10-07,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.2192
2015-10-07,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,28.4249
2015-10-07,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,163.1373
2015-10-07,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,62.27
2015-10-07,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,89.902
2015-10-08,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,19.08
2015-10-08,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,23.0935
2015-10-08,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,17.33
2015-10-08,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,153.46
2015-10-08,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,25.34
2015-10-08,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,329.831
2015-10-08,HSBC Large Cap Fund - Regular Growth,INF336L01016,145.0793
2015-10-08,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,53.8281
2015-10-08,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,20.468
2015-10-08,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,20.1452
2015-10-08,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,28.2207
2015-10-08,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,162.38
2015-10-08,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,61.81
2015-10-08,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,89.4912
2015-10-09,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,19.2
2015-10-09,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,23.2043
2015-10-09,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,17.34
2015-10-09,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,153.4
