Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-09-19 00:00:00+05:30,17958.30078125,18080.650390625,17828.75,18025.25,6334600,0.0,0.0
2022-09-20 00:00:00+05:30,18180.900390625,18329.0,18161.349609375,18222.099609375,5992100,0.0,0.0
2022-09-21 00:00:00+05:30,18180.55078125,18255.44921875,18041.150390625,18091.900390625,5441200,0.0,0.0
2022-09-22 00:00:00+05:30,17988.5,18111.44921875,17914.150390625,18030.400390625,5713100,0.0,0.0
2022-09-23 00:00:00+05:30,18004.94921875,18050.099609375,17686.05078125,17718.44921875,6831400,0.0,0.0
2022-09-26 00:00:00+05:30,17549.0,17576.400390625,17329.30078125,17374.80078125,8318700,0.0,0.0
2022-09-27 00:00:00+05:30,17469.900390625,17544.150390625,17290.849609375,17366.400390625,6513500,0.0,0.0
2022-09-28 00:00:00+05:30,17229.0,17401.400390625,17179.25,17219.55078125,6215300,0.0,0.0
2022-09-29 00:00:00+05:30,17361.849609375,17403.55078125,17139.25,17167.75,7470600,0.0,0.0
2022-09-30 00:00:00+05:30,17146.94921875,17518.099609375,17080.650390625,17438.599609375,7249400,0.0,0.0
2022-10-03 00:00:00+05:30,17448.69921875,17469.900390625,17137.30078125,17190.900390625,5310300,0.0,0.0
2022-10-04 00:00:00+05:30,17470.75,17602.05078125,17444.400390625,17589.30078125,4709500,0.0,0.0
2022-10-06 00:00:00+05:30,17700.849609375,17750.599609375,17647.400390625,17662.80078125,5130000,0.0,0.0
2022-10-07 00:00:00+05:30,17624.599609375,17660.150390625,17532.900390625,17641.44921875,5416900,0.0,0.0
2022-10-10 00:00:00+05:30,17419.19921875,17596.150390625,17380.599609375,17553.150390625,4502900,0.0,0.0
2022-10-11 00:00:00+05:30,17582.19921875,17585.75,17251.150390625,17285.849609375,4946900,0.0,0.0
2022-10-12 00:00:00+05:30,17330.80078125,17440.44921875,17249.900390625,17423.400390625,4519900,0.0,0.0
2022-10-13 00:00:00+05:30,17393.0,17417.150390625,17247.400390625,17302.150390625,4463500,0.0,0.0
2022-10-14 00:00:00+05:30,17612.849609375,17620.849609375,17418.55078125,17432.55078125,4191100,0.0,0.0
2022-10-17 00:00:00+05:30,17395.19921875,17580.25,17335.5,17560.5,3962800,0.0,0.0
2022-10-18 00:00:00+05:30,17685.150390625,17774.0,17681.849609375,17741.19921875,5266900,0.0,0.0
2022-10-19 00:00:00+05:30,17822.650390625,17862.05078125,17721.25,17756.25,4057100,0.0,0.0
2022-10-20 00:00:00+05:30,17670.599609375,17850.80078125,17665.900390625,17829.44921875,4778400,0.0,0.0
2022-10-21 00:00:00+05:30,17887.94921875,17915.25,17751.25,17808.80078125,5003500,0.0,0.0
2022-10-24 00:00:00+05:30,17973.75,18008.5,17926.94921875,17951.30078125,799600,0.0,0.0
2022-10-25 00:00:00+05:30,18023.900390625,18027.30078125,17871.0,17887.400390625,4959400,0.0,0.0
2022-10-27 00:00:00+05:30,18002.05078125,18027.94921875,17899.650390625,17989.0,5776500,0.0,0.0
2022-10-28 00:00:00+05:30,18011.30078125,18065.05078125,17950.099609375,18017.19921875,4682000,0.0,0.0
2022-10-31 00:00:00+05:30,18133.75,18256.650390625,18125.099609375,18243.400390625,4819400,0.0,0.0
2022-11-01 00:00:00+05:30,18354.900390625,18397.55078125,18290.349609375,18383.19921875,5764400,0.0,0.0
2022-11-02 00:00:00+05:30,18413.0,18413.900390625,18287.349609375,18322.400390625,4681600,0.0,0.0
2022-11-03 00:00:00+05:30,18206.900390625,18344.05078125,18198.0,18297.400390625,4025000,0.0,0.0
2022-11-04 00:00:00+05:30,18301.94921875,18377.25,18254.650390625,18361.44921875,4944100,0.0,0.0
2022-11-07 00:00:00+05:30,18456.44921875,18496.94921875,18309.400390625,18450.150390625,6857500,0.0,0.0
2022-11-09 00:00:00+05:30,18534.650390625,18538.05078125,18363.849609375,18406.25,6239000,0.0,0.0
2022-11-10 00:00:00+05:30,18302.349609375,18356.25,18202.150390625,18267.099609375,5316500,0.0,0.0
2022-11-11 00:00:00+05:30,18505.94921875,18586.150390625,18498.900390625,18573.349609375,10059200,0.0,0.0
2022-11-14 00:00:00+05:30,18603.94921875,18626.150390625,18547.05078125,18568.400390625,6683700,0.0,0.0
2022-11-15 00:00:00+05:30,18603.650390625,18656.55078125,18516.80078125,18635.400390625,4796000,0.0,0.0
2022-11-16 00:00:00+05:30,18632.69921875,18657.5,18546.94921875,18615.5,4859100,0.0,0.0
2022-11-17 00:00:00+05:30,18569.599609375,18618.900390625,18501.150390625,18532.44921875,4945200,0.0,0.0
2022-11-18 00:00:00+05:30,18575.75,18587.849609375,18385.44921875,18483.19921875,4610900,0.0,0.0
2022-11-21 00:00:00+05:30,18426.099609375,18439.650390625,18305.75,18334.650390625,4374600,0.0,0.0
2022-11-22 00:00:00+05:30,18353.19921875,18421.849609375,18307.849609375,18407.5,4207100,0.0,0.0
2022-11-23 00:00:00+05:30,18487.25,18487.400390625,18411.099609375,18433.80078125,4287700,0.0,0.0
2022-11-24 00:00:00+05:30,18492.30078125,18665.94921875,18462.94921875,18627.25,4756000,0.0,0.0
2022-11-25 00:00:00+05:30,18673.80078125,18677.099609375,18583.849609375,18652.05078125,4599100,0.0,0.0
2022-11-28 00:00:00+05:30,18582.55078125,18751.0,18521.599609375,18696.75,4493700,0.0,0.0
2022-11-29 00:00:00+05:30,18691.55078125,18815.900390625,18689.599609375,18758.349609375,4185500,0.0,0.0
2022-11-30 00:00:00+05:30,18771.349609375,18980.75,18762.599609375,18919.55078125,11353300,0.0,0.0
2022-12-01 00:00:00+05:30,19034.19921875,19039.400390625,18939.599609375,18973.05078125,6230000,0.0,0.0
2022-12-02 00:00:00+05:30,18925.849609375,18948.150390625,18812.599609375,18870.25,5438000,0.0,0.0
2022-12-05 00:00:00+05:30,18898.0,18905.599609375,18755.5,18867.650390625,5463700,0.0,0.0
2022-12-06 00:00:00+05:30,18777.599609375,18832.599609375,18760.19921875,18821.55078125,4247700,0.0,0.0
2022-12-07 00:00:00+05:30,18826.349609375,18858.30078125,18721.849609375,18754.0,3932900,0.0,0.0
2022-12-08 00:00:00+05:30,18770.80078125,18820.349609375,18739.0,18802.0,4408000,0.0,0.0
2022-12-09 00:00:00+05:30,18859.400390625,18861.30078125,18594.69921875,18687.650390625,5196900,0.0,0.0
2022-12-12 00:00:00+05:30,18605.19921875,18711.19921875,18536.44921875,18690.80078125,3950100,0.0,0.0
2022-12-13 00:00:00+05:30,18724.05078125,18793.69921875,18688.94921875,18781.650390625,3580000,0.0,0.0
2022-12-14 00:00:00+05:30,18842.849609375,18872.650390625,18817.349609375,18837.25,4008800,0.0,0.0
2022-12-15 00:00:00+05:30,18795.55078125,18833.650390625,18576.0,18604.44921875,3765100,0.0,0.0
2022-12-16 00:00:00+05:30,18512.150390625,18624.650390625,18432.0,18446.30078125,5366500,0.0,0.0
2022-12-19 00:00:00+05:30,18466.69921875,18616.44921875,18419.44921875,18604.5,3298400,0.0,0.0
2022-12-20 00:00:00+05:30,18532.94921875,18589.5,18391.19921875,18570.400390625,3434100,0.0,0.0
2022-12-21 00:00:00+05:30,18621.30078125,18664.75,18324.400390625,18361.150390625,4032100,0.0,0.0
2022-12-22 00:00:00+05:30,18447.0,18484.94921875,18212.5,18277.849609375,4344600,0.0,0.0
2022-12-23 00:00:00+05:30,18128.5,18193.0,17855.150390625,17888.05078125,5423600,0.0,0.0
2022-12-27 00:00:00+05:30,18214.94921875,18280.5,18097.75,18263.55078125,3962900,0.0,0.0
2022-12-28 00:00:00+05:30,18220.349609375,18317.400390625,18200.19921875,18270.94921875,3999100,0.0,0.0
2022-12-29 00:00:00+05:30,18192.19921875,18387.599609375,18124.80078125,18343.599609375,4684900,0.0,0.0
2022-12-30 00:00:00+05:30,18422.400390625,18434.19921875,18232.30078125,18258.75,3520500,0.0,0.0
2023-01-02 00:00:00+05:30,18290.19921875,18350.900390625,18237.44921875,18334.30078125,3910028500,0.0,0.0
2023-01-03 00:00:00+05:30,18310.650390625,18398.94921875,18298.55078125,18376.5,3733900,0.0,0.0
