Date,Scheme Name,ISIN,NAV
2022-09-21,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,111.8
2022-09-21,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,194.7639
2022-09-22,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,44.4
2022-09-22,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,49.933
2022-09-22,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,10.75
2022-09-22,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,141.6816
2022-09-22,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,41.55
2022-09-22,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,292.485
2022-09-22,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,55.14
2022-09-22,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,725.261
2022-09-22,HSBC Large Cap Fund - Regular Growth,INF336L01016,320.0883
2022-09-22,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,11.9355
2022-09-22,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,99.9868
2022-09-22,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,41.54
2022-09-22,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,40.3431
2022-09-22,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,15.789
2022-09-22,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,10.3465
2022-09-22,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,62.5499
2022-09-22,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,15.0301
2022-09-22,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,333.8439
2022-09-22,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,112.09
2022-09-22,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,194.3336
2022-09-23,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,43.67
2022-09-23,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,49.091
2022-09-23,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,10.57
2022-09-23,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,139.4867
2022-09-23,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,40.87
2022-09-23,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,287.038
2022-09-23,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,54.21
2022-09-23,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,712.783
2022-09-23,HSBC Large Cap Fund - Regular Growth,INF336L01016,314.053
2022-09-23,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,11.731
2022-09-23,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,98.3251
2022-09-23,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,40.751
2022-09-23,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,39.6519
2022-09-23,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,15.5218
2022-09-23,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,10.1931
2022-09-23,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,61.512
2022-09-23,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,14.7676
2022-09-23,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,328.3522
2022-09-23,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,110.09
2022-09-23,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,191.2531
2022-09-26,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,43.05
2022-09-26,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,48.288
2022-09-26,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,10.35
2022-09-26,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,137.0727
2022-09-26,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,40.09
2022-09-26,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,282.026
2022-09-26,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,53.12
2022-09-26,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,698.511
2022-09-26,HSBC Large Cap Fund - Regular Growth,INF336L01016,307.6879
2022-09-26,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,11.5019
2022-09-26,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,96.3202
2022-09-26,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,39.877
2022-09-26,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,39.0507
2022-09-26,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,15.2099
2022-09-26,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,9.8855
2022-09-26,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,60.31
2022-09-26,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,14.4851
2022-09-26,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,322.3244
2022-09-26,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,106.97
2022-09-26,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,188.3817
2022-09-27,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,42.93
2022-09-27,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,48.347
2022-09-27,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,10.35
2022-09-27,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,137.0256
2022-09-27,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,40.04
2022-09-27,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,282.171
2022-09-27,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,53.08
2022-09-27,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,697.808
2022-09-27,HSBC Large Cap Fund - Regular Growth,INF336L01016,307.0863
2022-09-27,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,11.488
2022-09-27,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,96.536
2022-09-27,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,39.824
2022-09-27,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,39.0113
2022-09-27,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,15.203
2022-09-27,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,9.8712
2022-09-27,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,60.2405
2022-09-27,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,14.4502
2022-09-27,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,322.0113
2022-09-27,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,106.37
2022-09-27,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,188.244
2022-09-28,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,42.79
2022-09-28,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,48.005
2022-09-28,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,10.29
2022-09-28,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,136.0079
2022-09-28,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,39.74
2022-09-28,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,280.926
2022-09-28,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,52.64
2022-09-28,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,691.229
2022-09-28,HSBC Large Cap Fund - Regular Growth,INF336L01016,304.6197
2022-09-28,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,11.3869
2022-09-28,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,95.9736
2022-09-28,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,39.573
2022-09-28,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,38.8046
2022-09-28,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,15.0936
2022-09-28,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,9.7417
2022-09-28,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,59.768
2022-09-28,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,14.3376
2022-09-28,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,319.7852
2022-09-28,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,105.61
2022-09-28,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,187.5229
2022-09-29,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,42.52
2022-09-29,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,47.882
2022-09-29,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,10.28
2022-09-29,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,135.7497
2022-09-29,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,39.7
2022-09-29,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,281.403
2022-09-29,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,52.68
2022-09-29,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,691.936
2022-09-29,HSBC Large Cap Fund - Regular Growth,INF336L01016,304.5208
2022-09-29,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,11.3847
2022-09-29,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,96.1443
2022-09-29,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,39.602
2022-09-29,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,38.7152
2022-09-29,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,15.1012
2022-09-29,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,9.7539
2022-09-29,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,59.8511
2022-09-29,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,14.3161
2022-09-29,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,319.5482
2022-09-29,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,105.6
2022-09-29,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,187.1785
2022-09-30,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,43.25
2022-09-30,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,48.623
2022-09-30,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,10.44
2022-09-30,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,137.872
2022-09-30,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,40.35
2022-09-30,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,284.836
2022-09-30,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,53.54
